sfn,slot,ssb,pdsch,pdcch
791, 3,0,4,4
791, 4,0,0,0
798, 5,0,3,7
791, 6,0,2,2
791, 7,0,2,2
791, 8,0,2,2
791, 9,0,0,0
791,10,0,3,7
791,11,0,2,2
791,12,0,1,1
791,13,0,2,2
791,14,0,0,0
791,15,0,3,6
791,16,0,3,3
791,17,0,2,2
791,18,0,2,2
791,19,0,0,0
792, 0,1,1,4
792, 1,0,2,2
792, 2,0,0,0
792, 3,0,1,1
792, 4,0,0,0
792, 5,0,2,5
792, 6,0,1,1
792, 7,0,1,1
792, 8,0,1,1
792, 9,0,0,0
792,10,0,1,4
792,11,0,2,2
792,12,0,2,2
792,13,0,2,2
792,14,0,0,0
792,15,0,2,5
792,16,0,2,2
792,17,0,3,3
792,18,0,1,1
792,19,0,0,0
793, 0,0,3,7
793, 1,0,2,2
793, 2,0,2,2
793, 3,0,1,1
793, 4,0,0,0
793, 5,0,1,4
793, 6,0,2,2
793, 7,0,2,2
793, 8,0,2,2
793, 9,0,0,0
793,10,0,2,6
793,11,0,2,2
793,12,0,0,0
793,13,0,3,3
793,14,0,0,0
793,15,0,3,6
793,16,0,1,1
793,17,0,1,1
793,18,0,1,1
793,19,0,0,0
794, 0,1,3,6
794, 1,0,2,2
794, 2,0,2,2
794, 3,0,3,3
794, 4,0,0,0
794, 5,0,2,5
794, 6,0,2,2
794, 7,0,1,1
794, 8,0,1,1
794, 9,0,0,0
794,10,0,1,4
794,11,0,2,2
794,12,0,1,1
794,13,0,2,2
794,14,0,0,0
794,15,0,4,8
794,16,0,2,2
794,17,0,3,3
794,18,0,2,2
794,19,0,0,0
795, 0,0,3,7
795, 1,0,3,3
795, 2,0,2,2
795, 3,0,2,2
795, 4,0,0,0
795, 5,0,4,8
795, 6,0,2,2
795, 7,0,1,1
795, 8,0,0,0
795, 9,0,0,0
795,10,0,2,6
795,11,0,3,3
795,12,0,2,2
795,13,0,1,1
795,14,0,0,0
795,15,0,3,6
795,16,0,2,2
795,17,0,1,1
795,18,0,1,1
795,19,0,0,0
796, 0,1,2,5
796, 1,0,2,2
796, 2,0,2,2
796, 3,0,1,1
796, 4,0,0,0
796, 5,0,2,5
796, 6,0,2,2
796, 7,0,0,0
796, 8,0,0,0
796, 9,0,0,0
796,10,0,1,4
796,11,0,2,2
796,12,0,2,2
796,13,0,2,2
796,14,0,0,0
796,15,0,3,6
796,16,0,3,3
796,17,0,3,3
796,18,0,3,3
796,19,0,0,0
797, 0,0,4,7
797, 1,0,4,4
797, 2,0,2,2
797, 3,0,0,0
797, 4,0,0,0
797, 5,0,3,7
797, 6,0,2,2
797, 7,0,1,1
797, 8,0,1,1
797, 9,0,0,0
797,10,0,2,6
797,11,0,2,2
797,12,0,1,1
797,13,0,2,2
797,14,0,0,0
797,15,0,3,6
797,16,0,2,2
797,17,0,2,2
797,18,0,2,2
797,19,0,0,0
798, 0,1,2,5
798, 1,0,2,2
798, 2,0,2,2
798, 3,0,2,2
798, 4,0,0,0
798, 5,0,2,5
798, 6,0,2,2
798, 7,0,1,1
798, 8,0,0,0
798, 9,0,0,0
798,10,0,1,4
798,11,0,2,2
798,12,0,2,2
798,13,0,2,2
798,14,0,0,0
798,15,0,4,8
798,16,0,3,3
798,17,0,2,2
798,18,0,0,0
798,19,0,0,0
799, 0,0,1,5
799, 1,0,1,1
799, 2,0,1,1
799, 3,0,2,2
799, 4,0,0,0
799, 5,0,4,8
799, 6,0,3,3
799, 7,0,3,3
799, 8,0,2,2
799, 9,0,0,0
799,10,0,2,6
799,11,0,3,3
799,12,0,3,3
799,13,0,4,4
799,14,0,0,0
799,15,0,2,5
799,16,0,2,2
799,17,0,1,1
799,18,0,0,0
799,19,0,0,0
800, 0,1,3,6
800, 1,0,2,2
800, 2,0,2,2
800, 3,0,1,1
800, 4,0,0,0
800, 5,0,2,5
800, 6,0,2,2
800, 7,0,0,0
800, 8,0,0,0
800, 9,0,0,0
800,10,0,2,5
800,11,0,3,3
800,12,0,3,3
800,13,0,3,3
800,14,0,0,0
800,15,0,3,7
800,16,0,3,3
800,17,0,3,3
800,18,0,3,3
800,19,0,0,0
801, 0,0,4,8
801, 1,0,3,3
801, 2,0,1,1
801, 3,0,2,2
801, 4,0,0,0
801, 5,0,3,7
801, 6,0,3,3
801, 7,0,4,4
801, 8,0,2,2
801, 9,0,0,0
801,10,0,3,7
801,11,0,2,2
801,12,0,2,2
801,13,0,1,1
801,14,0,0,0
801,15,0,3,6
801,16,0,2,2
801,17,0,2,2
801,18,0,2,2
801,19,0,0,0
802, 0,1,3,6
802, 1,0,3,3
802, 2,0,2,2
802, 3,0,2,2
802, 4,0,0,0
802, 5,0,1,4
802, 6,0,1,1
802, 7,0,1,1
802, 8,0,1,1
802, 9,0,0,0
802,10,0,1,4
802,11,0,2,2
802,12,0,2,2
802,13,0,4,4
802,14,0,0,0
802,15,0,4,8
802,16,0,3,3
802,17,0,4,4
802,18,0,4,4
802,19,0,0,0
803, 0,0,4,8
803, 1,0,4,4
803, 2,0,3,3
803, 3,0,2,2
803, 4,0,0,0
803, 5,0,3,6
803, 6,0,1,1
803, 7,0,1,1
803, 8,0,1,1
803, 9,0,0,0
803,10,0,2,6
803,11,0,1,1
803,12,0,1,1
803,13,0,2,2
803,14,0,0,0
803,15,0,2,5
803,16,0,2,2
803,17,0,3,3
803,18,0,1,1
803,19,0,0,0
804, 0,1,2,5
804, 1,0,1,1
804, 2,0,0,0
804, 3,0,0,0
804, 4,0,0,0
804, 5,0,1,4
804, 6,0,1,1
804, 7,0,2,2
804, 8,0,1,1
804, 9,0,0,0
804,10,0,1,4
804,11,0,3,3
804,12,0,3,3
804,13,0,3,3
804,14,0,0,0
804,15,0,4,7
804,16,0,4,4
804,17,0,3,3
804,18,0,2,2
804,19,0,0,0
805, 0,0,3,7
805, 1,0,2,2
805, 2,0,2,2
805, 3,0,2,2
805, 4,0,0,0
